id,chat_id,user_id,warnings,muted,banned,messages
1,-1002116123455,6669082553,0,0,0,6
2,-1002116123455,7459524473,0,0,0,210
3,-1002133458993,6580476387,0,0,0,21
4,-1002133458993,6595853224,0,0,0,6
5,-1002116123455,7084938423,0,0,0,8225
6,-1002116123455,6737665903,0,0,0,20
7,-1002133458993,7090418843,0,0,0,2
8,-1002116123455,7049134379,0,0,1,45
9,-1001949395702,6840837015,0,0,0,181
10,-1002133458993,7049134379,0,0,0,67
11,-1002133458993,482274468,0,0,0,29
12,-1002133458993,6296712929,0,0,0,34
13,-1002133458993,6482406745,0,0,0,11
14,-1002116123455,5077809165,2,0,0,654
15,-1002116123455,6827189027,0,0,0,5
16,-1002116123455,6902345281,3,1,0,1184
17,-1002116123455,6795269965,0,0,0,897
18,-1002116123455,1279044203,0,0,0,1104
19,-1002116123455,7154626474,0,0,0,54
20,-1002116123455,5807988164,0,0,1,2
21,-1002116123455,5058616702,1,0,0,10
22,-1002116123455,5513713714,0,0,0,29
23,-1002116123455,7209275449,0,0,0,20
24,-1002116123455,724158826,0,0,0,1
25,-1002116123455,608776633,0,0,0,3
26,-1002116123455,6221444659,0,0,0,37
27,-1002116123455,6555512813,0,0,0,93
28,-1002116123455,6635685012,0,0,0,55
29,-1002116123455,6937814988,0,0,0,1
30,-1002116123455,5414198753,0,0,0,5
31,-1002116123455,1661009357,0,0,0,4
32,-1002116123455,6293030705,0,0,0,12
33,-1002116123455,6786933015,0,0,0,79
34,-1002116123455,1281784547,2,0,0,65
35,-1002116123455,6472568845,0,0,0,5
36,-1002116123455,7239606342,0,0,0,88
37,-1002116123455,6357225929,0,0,0,32
38,-1002116123455,6524774504,0,0,0,2
39,-1002116123455,6029501990,1,1,0,159
40,-1002116123455,7217147479,0,0,0,36
41,-1002116123455,6229905688,0,0,0,2
42,-1002116123455,6921720264,0,0,0,100
43,-1002116123455,6820009301,0,0,0,10
44,-1002116123455,6815140674,0,0,0,19
45,-1002116123455,6632876853,0,0,0,41
46,-1002116123455,2028122269,0,0,0,14
47,-1002116123455,1712434490,0,0,0,9
48,-1002116123455,1039082894,1,0,1,16
49,-1001949395702,6140393551,2,8,0,88
50,-1002116123455,6997554901,0,0,0,3
51,-1002116123455,1663114819,0,0,0,432
52,-1002116123455,6882937078,0,0,1,2
53,-1002116123455,6373759004,0,0,0,126
54,-1002116123455,5224796448,0,1,0,1524
55,-1002116123455,1887802147,1,0,0,25
56,-1002116123455,6907963788,0,0,0,2
57,-1002133458993,741296866,0,0,0,9
58,-1002116123455,5647668926,0,0,0,18
59,-1002116123455,5442307338,0,0,0,7
60,-1002116123455,6482406745,0,0,0,6
61,-1002116123455,5563532998,0,0,0,16
62,-1002116123455,5600195100,0,0,0,1
63,-1002116123455,1149511962,0,0,0,2
64,-1002133458993,6950782369,0,0,0,10
